"","id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se"
"39","2022220",2022-07-02 09:00:00,-122.306278149745,47.2587032762319,-13615.0726044501,5953.00764902457,4113.61782726671,4108.60626622533,0.32503601409844,0.736867979089813,8.6727547976106,8.65768095276297,0.805179153210023,NA
"40","2022220",2022-07-03 09:00:00,-122.2385408797,47.3614003431233,-13607.532126041,5969.81644351356,4246.97638080278,4241.42046623524,0.314186600380025,0.700366437042342,8.64309114174153,8.62801148276245,0.767420293896433,NA
"41","2022220",2022-07-04 09:00:00,-122.173135793258,47.4586158460061,-13600.251265123,5985.75841030303,4377.04621770045,4370.93697978677,0.303369204916141,0.664248616228414,8.60918142127763,8.59419900627316,0.730057098869269,NA
"42","2022220",2022-07-05 09:00:00,-122.110055987423,47.5504353045026,-13593.229253258,6000.84275870256,4503.67448291922,4497.00523047129,0.292583827706787,0.628514516648029,8.57151659256225,8.55673050368698,0.693092049082682,NA
"43","2022220",2022-07-06 09:00:00,-122.049294559196,47.6369422481714,-13586.465322008,6015.07869802177,4626.71646878156,4619.48313481716,0.281830468751964,0.593164138301186,8.53057315520536,8.51608845079022,0.656528140851042,NA
"44","2022220",2022-07-07 09:00:00,-121.990844605582,47.7182182742253,-13579.9587029348,6028.47543757025,4746.03471830776,4738.23683194527,0.271109128051671,0.558197481187885,8.48679913394801,8.47273993623441,0.620369020073885,NA
"45","2022220",2022-07-08 09:00:00,-121.934699223583,47.7943431046337,-13573.7086276002,6041.04218665763,4861.49952555707,4853.13941215964,0.260419805605909,0.523614545308127,8.44065238172603,8.42711481895752,0.584619160221124,NA
"46","2022220",2022-07-09 09:00:00,-121.880851510202,47.8653946425834,-13567.7143275663,6052.78815459349,4972.98809706949,4964.07053052381,0.249762501414678,0.489415330661911,8.39256324377975,8.37963127889527,0.549284101543255,NA
"47","2022220",2022-07-10 09:00:00,-121.829294562442,47.9314490282719,-13561.9750343948,6063.72255068745,5080.38440925787,5070.91716483994,0.239137215477978,0.455599837249238,8.34295570470803,8.33071984830247,0.514370777352033,NA
"48","2022220",2022-07-11 09:00:00,-121.780021477307,47.9925806940173,-13556.4899796477,6073.85458424912,5183.578823391,5173.57341965558,0.228543947795808,0.422168065070107,8.292239381006,8.28079833785601,0.479887966358537,NA
"49","2022220",2022-07-12 09:00:00,-121.733025351798,48.0488624186654,-13551.2583948869,6083.19346458808,5282.46845424384,5271.93956594163,0.21798269836817,0.389120014124518,8.24082587488083,8.23025529902341,0.445846931134568,NA
